,text,cluster,x0,x1,Topics,Insert-text,simil,Id
8343,ricors epigraf chied ottemper giudic decret appell minister econom finanz condann favor soff titol indennizz somm interess legal domand sald spes accessor rifond difensor antistatar crucianell anch titol ricorrent chied altres ricorrent ulterior ritard somm indennit codic process amministr amministr costitu giudiz rilev cessazion contend ragion avven somm argoment camer consigl ottobr tratten decision premess osserv minister intim provved ordin atti rest pertant dichiar cessazion contend sens codic process amministr ragion mancanz osserv sens contrar ricorrent dispost condann spes minister econom finanz second criter soccombt virtual risult interven notif present ricors,"Cluster 3 = [rilasc,redd,rinnov,rinnov permess,questur,lavor,stranier,permess,permess soggiorn,soggiorn]",-0.24321377,0.12900294,Risarcimento del danno,"ricorso epigrafe chiede rsquo ottemperanza giudicato decreto corte d rsquo appello perugia n. 666 5.3.2018 ministero rsquo economia finanze egrave stato condannato pagare favore sig giuseppe nevi titolo indennizzo ex lege 89/2001 somma euro 1.250,00 oltre interessi legali domanda saldo unitamente spese lite pari euro 450,00 oltre iva accessori legge rifondere difensore antistatario avv laura crucianelli anch rsquo ella tal titolo ricorrente chiedono altres igrave ricorrenti caso ulteriore ritardo pagamento somme egrave causa rsquo indennit agrave mora rsquo art 114 comma 4 lett codice processo amministrativo rsquo amministrazione egrave costituita giudizio rilevando cessazione materia contendere ragione rsquo avvenuto pagamento somme argomento camera consiglio giorno 12 ottobre 2001 causa egrave stata trattenuta decisione ograve premesso deve osservarsi ministero intimato provveduto pagamento dovuto ordinativi atti causa resta pertanto dichiarare cessazione materia contendere sensi rsquo art 34 comma 5 codice processo amministrativo ragione mancanza osservazioni senso contrario parte ricorrente va disposta condanna spese lite ministero rsquo economia finanze secondo criterio soccombenza ldquo virtuale rdquo risultando comunque pagamento intervenuto successivamente notifica presente ricorso",1.0,ga-tar_pg-2021-825-1
11791,ricors epigraf chied ottemper giudic decret appell minister econom finanz condann favor elig lattanz titol indennizz somm interess legal domand sald spes compens accessor rifond difensor antistatar crucianell anch titol ricorrent chied altres ricorrent ulterior ritard somm indennit codic process amministr amministr costitu giudiz rilev cessazion contend ragion avven somm argoment camer consigl ottobr tratten decision premess osserv minister intim provved ordin atti rest pertant dichiar cessazion contend sens codic process amministr ragion mancanz osserv sens contrar ricorrent dispost condann spes minister econom finanz second criter soccombt virtual risult interven notif present ricors,"Cluster 3 = [rilasc,redd,rinnov,rinnov permess,questur,lavor,stranier,permess,permess soggiorn,soggiorn]",-0.24641536,0.12807314,Risarcimento del danno,"ricorso epigrafe chiede rsquo ottemperanza giudicato decreto corte d rsquo appello perugia n. 666 5.3.2018 ministero rsquo economia finanze egrave stato condannato pagare favore sig giuseppe nevi titolo indennizzo ex lege 89/2001 somma euro 1.250,00 oltre interessi legali domanda saldo unitamente spese lite pari euro 450,00 oltre iva accessori legge rifondere difensore antistatario avv laura crucianelli anch rsquo ella tal titolo ricorrente chiedono altres igrave ricorrenti caso ulteriore ritardo pagamento somme egrave causa rsquo indennit agrave mora rsquo art 114 comma 4 lett codice processo amministrativo rsquo amministrazione egrave costituita giudizio rilevando cessazione materia contendere ragione rsquo avvenuto pagamento somme argomento camera consiglio giorno 12 ottobre 2001 causa egrave stata trattenuta decisione ograve premesso deve osservarsi ministero intimato provveduto pagamento dovuto ordinativi atti causa resta pertanto dichiarare cessazione materia contendere sensi rsquo art 34 comma 5 codice processo amministrativo ragione mancanza osservazioni senso contrario parte ricorrente va disposta condanna spese lite ministero rsquo economia finanze secondo criterio soccombenza ldquo virtuale rdquo risultando comunque pagamento intervenuto successivamente notifica presente ricorso",0.99,ga-tar_pg-2021-822-1
11809,ricors epigraf chied ottemper giudic decret appell minister econom finanz condann favor alvar pietros titol indennizz somm interess legal domand sald spes accessor rifond difensor antistatar crucianell anch titol ricorrent chied altres ricorrent ulterior ritard somm indennit codic process amministr amministr costitu giudiz rilev cessazion contend ragion avven somm argoment camer consigl ottobr tratten decision premess osserv minister intim provved ordin atti rest pertant dichiar cessazion contend sens codic process amministr ragion mancanz osserv sens contrar ricorrent dispost condann spes minister econom finanz second criter soccombt virtual risult interven notif present ricors,"Cluster 3 = [rilasc,redd,rinnov,rinnov permess,questur,lavor,stranier,permess,permess soggiorn,soggiorn]",-0.24321377,0.12900294,Risarcimento del danno,"ricorso epigrafe chiede rsquo ottemperanza giudicato decreto corte d rsquo appello perugia n. 666 5.3.2018 ministero rsquo economia finanze egrave stato condannato pagare favore sig giuseppe nevi titolo indennizzo ex lege 89/2001 somma euro 1.250,00 oltre interessi legali domanda saldo unitamente spese lite pari euro 450,00 oltre iva accessori legge rifondere difensore antistatario avv laura crucianelli anch rsquo ella tal titolo ricorrente chiedono altres igrave ricorrenti caso ulteriore ritardo pagamento somme egrave causa rsquo indennit agrave mora rsquo art 114 comma 4 lett codice processo amministrativo rsquo amministrazione egrave costituita giudizio rilevando cessazione materia contendere ragione rsquo avvenuto pagamento somme argomento camera consiglio giorno 12 ottobre 2001 causa egrave stata trattenuta decisione ograve premesso deve osservarsi ministero intimato provveduto pagamento dovuto ordinativi atti causa resta pertanto dichiarare cessazione materia contendere sensi rsquo art 34 comma 5 codice processo amministrativo ragione mancanza osservazioni senso contrario parte ricorrente va disposta condanna spese lite ministero rsquo economia finanze secondo criterio soccombenza ldquo virtuale rdquo risultando comunque pagamento intervenuto successivamente notifica presente ricorso",1.0,ga-tar_pg-2021-821-1
