,compound_emoji
505,0.0
506,0.0
507,0.493
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0895
516,0.179
517,0.0
518,0.0
519,0.2625
520,0.0
521,0.612
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0972
529,0.0
530,0.0
531,0.2465
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.645
553,0.221
554,0.0
555,0.0
556,0.266
557,0.0
558,0.0
559,0.087
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.16433333333333333
570,0.0
571,0.0
572,0.0
573,0.493
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.08933333333333333
589,0.0
590,0.0
591,-0.093
592,0.0
593,0.0
594,0.221
595,0.746
596,0.06166666666666667
597,0.064
598,0.0
599,0.0
600,0.221
601,0.746
602,0.06166666666666667
603,0.064
604,0.08325
605,0.0
606,0.064
607,0.689
608,0.314
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.6869999999999999
615,0.4495
616,-0.173
617,0.29533333333333334
618,0.443
619,0.0
620,0.4385
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.134
632,0.0
633,-0.02
634,0.07
635,0.1765
636,0.0
637,0.07
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.265
645,0.0
646,0.268
647,0.0
648,0.625
649,0.0
650,0.265
651,0.0
652,0.268
653,0.0
654,0.625
655,0.0
656,0.2215
657,0.241
658,0.0
659,0.10099999999999999
660,0.2215
661,0.1515
662,0.221
663,0.0
664,0.2563333333333333
665,0.104
666,0.0
667,0.04666666666666667
668,0.133
669,0.0
670,0.0
671,0.221
672,0.0
673,0.221
674,0.274
675,0.332
676,0.234
677,0.0315
678,0.634
679,0.537
680,0.456
681,0.746
682,0.3355
683,0.0
684,0.4176666666666667
685,0.228
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,-0.146
694,0.0
695,-0.086
696,0.0
697,0.746
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.197
725,0.19083333333333333
726,0.19083333333333333
727,0.19083333333333333
728,0.0
729,0.0
730,0.456
731,0.0
732,0.0
733,0.0
734,0.365
735,0.3565
736,0.0
737,0.5329999999999999
738,0.0
739,0.5475
740,0.018
741,0.0
742,-0.389
743,0.0
744,0.0
745,0.0
746,0.706
747,0.706
748,0.706
749,0.706
750,0.706
751,0.706
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.197
779,0.19083333333333333
780,0.19083333333333333
781,0.19083333333333333
782,0.0
783,0.0
784,0.456
785,0.0
786,0.0
787,0.0
788,0.365
789,0.3565
790,0.0
791,0.5329999999999999
792,0.0
793,0.5475
794,0.018
795,0.0
796,-0.389
797,0.0
798,0.0
799,0.0
800,0.706
801,0.706
802,0.706
803,0.706
804,0.706
805,0.706
806,0.0
807,0.0
808,0.0
809,0.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.006500000000000006
825,0.0
826,0.0
827,0.1805
828,0.398
829,0.0
830,0.45
831,0.353
832,0.196
833,0.0
834,-0.0465
835,0.0
836,0.633
837,0.597
838,0.4046666666666667
839,0.21766666666666667
840,0.2426
841,0.30325
842,0.658
843,-0.122
844,0.0
845,0.0
846,0.07020000000000001
847,0.44
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.746
873,0.0
874,0.0
875,0.0
876,0.381
877,0.0
878,0.22025000000000003
879,0.1824285714285714
880,0.21614285714285716
881,0.1575
882,0.22916666666666666
883,0.3165
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,0.746
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,1.0
909,0.375
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.063
917,0.0
918,0.416
919,0.0
920,0.0
921,0.0
922,0.063
923,0.0
924,0.416
925,0.0
926,0.12366666666666666
927,0.0007500000000000007
928,0.03200000000000001
929,0.011333333333333334
930,0.12366666666666666
931,-0.093
932,0.0
933,0.0
934,0.368
935,0.006500000000000006
936,0.732
937,0.179
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.30866666666666664
945,0.43333333333333335
946,0.677
947,0.1145
948,0.30516666666666664
949,0.1515
950,0.0
951,0.0
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.431
966,0.0
967,0.0
968,0.0
969,0.0
970,0.658
971,0.4383333333333333
972,0.658
973,0.658
974,0.0
975,0.0
976,0.658
977,0.4383333333333333
978,0.658
979,0.658
980,0.268
981,0.0
982,0.2695
983,0.009
984,0.2695
985,0.2695
986,-0.093
987,0.3265
988,-0.1075
989,-0.093
990,0.0
991,0.13840000000000002
992,0.221
993,0.0
994,0.221
995,0.1105
996,0.1255
997,0.221
998,0.0
999,0.0
1000,0.0
1001,0.525
1002,0.229
1003,0.0
1004,0.0
1005,0.0
1006,0.139
1007,0.1
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.265
1023,0.0
1024,0.268
1025,0.0
1026,0.625
1027,0.0
1028,0.265
1029,0.0
1030,0.268
1031,0.0
1032,0.625
1033,0.0
1034,0.2215
1035,0.241
1036,0.0
1037,0.10099999999999999
1038,0.2215
1039,0.1515
1040,0.221
1041,0.0
1042,0.2563333333333333
1043,0.104
1044,0.0
1045,0.04666666666666667
1046,0.133
1047,0.0
1048,0.0
1049,0.221
1050,0.0
1051,0.221
1052,0.274
1053,0.332
1054,0.234
1055,0.0315
1056,0.634
1057,0.537
1058,0.456
1059,0.746
1060,0.3355
1061,0.0
1062,0.4176666666666667
1063,0.228
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,-0.146
1072,0.0
1073,-0.086
1074,0.0
1075,0.746
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.656
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.656
1087,0.0
1088,0.0
1089,0.157
1090,0.0
1091,0.0
1092,0.464
1093,0.332
1094,0.0
1095,0.0
1096,0.0
1097,0.0
1098,-0.118
1099,0.0
1100,0.658
1101,0.368
1102,0.5115000000000001
1103,0.0
1104,0.0
1105,0.018
1106,0.223
1107,-0.093
1108,0.0
1109,0.4955
1110,0.0
1111,0.0
1112,0.0
1113,0.0
1114,0.0
1115,0.0
1116,0.0
1117,0.0
1118,0.0
1119,0.0
1120,0.0
1121,0.0
1122,0.0
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.19774999999999998
1131,0.5855
1132,0.656
1133,0.634
1134,0.746
1135,0.634
1136,0.19774999999999998
1137,0.5855
1138,0.656
1139,0.634
1140,0.746
1141,0.634
1142,0.1765
1143,0.111
1144,0.713
1145,0.366
1146,0.732
1147,0.3505
1148,0.009
1149,0.27566666666666667
1150,0.1195
1151,0.4155
1152,0.1195
1153,0.18433333333333335
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.0
1160,0.0
1161,0.0
1162,0.0
1163,0.493
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1172,0.18633333333333332
1173,0.19249999999999998
1174,0.103
1175,0.25666666666666665
1176,0.25666666666666665
1177,0.103
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.0
1184,0.0
1185,0.656
1186,0.0
1187,0.0
1188,0.0
1189,0.0
1190,0.0
1191,0.656
1192,0.0
1193,0.0
1194,0.157
1195,0.0
1196,0.0
1197,0.464
1198,0.332
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,-0.118
1204,0.0
1205,0.658
1206,0.368
1207,0.5115000000000001
1208,0.0
1209,0.0
1210,0.018
1211,0.223
1212,-0.093
1213,0.0
1214,0.4955
1215,0.0
1216,0.0
1217,0.0
1218,0.0
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,0.0
1232,0.0
1233,0.0
1234,0.0
1235,0.0
1236,0.09499999999999999
1237,0.0
1238,0.0
1239,0.0
1240,0.0
1241,0.0
1242,0.09499999999999999
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.18
1248,0.0
1249,0.464
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,0.018
1259,0.0
1260,0.0
1261,0.0
1262,0.0
1263,0.018
1264,0.0
1265,0.0
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,0.0
1279,0.0
1280,0.0
1281,0.0
1282,0.0
1283,0.0
1284,0.0
1285,0.0
1286,0.0
1287,0.333
1288,0.0
1289,0.0
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.746
1301,0.0
1302,0.0
1303,0.0
1304,0.381
1305,0.0
1306,0.22025000000000003
1307,0.1824285714285714
1308,0.21614285714285716
1309,0.1575
1310,0.22916666666666666
1311,0.3165
1312,0.0
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,0.0
1327,0.0
1328,0.0
1329,0.0
1330,0.746
1331,0.0
1332,0.0
