,compound
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0772
486,-0.1531
487,0.1779
488,0.8271
489,-0.8002
490,0.0
491,0.0772
492,-0.1531
493,0.1779
494,0.8271
495,-0.8002
496,0.0
497,0.0
498,0.0258
499,0.0
500,0.0
501,-0.2732
502,0.0
503,0.0
504,0.0
505,0.4215
506,0.0
507,0.4588
508,0.3612
509,0.0
510,0.0
511,0.0
512,0.4215
513,0.0
514,0.4404
515,0.0
516,0.0
517,0.0
518,0.8402
519,0.0
520,0.0
521,0.0
522,0.7249
523,0.0
524,0.6597
525,0.0
526,0.0
527,0.296
528,0.4574
529,0.1779
530,0.4939
531,0.6115
532,0.5093
533,-0.1531
534,0.4753
535,0.0
536,-0.5719
537,0.34
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.5994
551,0.7712
552,0.7184
553,0.4404
554,0.0
555,-0.2411
556,0.0
557,0.0
558,0.0
559,0.0
560,0.3818
561,0.0
562,0.0
563,0.0
564,0.0
565,-0.1531
566,0.0
567,0.5106
568,0.0
569,0.7351
570,-0.5574
571,0.0
572,0.0
573,0.4588
574,0.9186
575,0.3612
576,0.3612
577,0.6124
578,0.4033
579,0.3612
580,0.0
581,-0.4767
582,0.3182
583,0.25
584,0.3724
585,0.4802
586,0.0
587,0.7081
588,0.4588
589,0.6908
590,0.4939
591,-0.4767
592,0.6351
593,0.0
594,0.7269
595,0.0
596,-0.126
597,0.5242
598,0.6351
599,0.0
600,0.7269
601,0.0
602,-0.126
603,0.5242
604,0.3818
605,0.7506
606,-0.1531
607,0.7506
608,0.4576
609,0.0
610,0.0
611,0.0
612,0.0
613,0.5719
614,0.0
615,0.7096
616,0.0
617,0.5864
618,-0.5859
619,0.0
620,0.4404
621,0.3818
622,0.4939
623,0.0
624,-0.5719
625,-0.5719
626,0.0
627,0.0
628,-0.34
629,-0.6249
630,-0.7511
631,0.4404
632,0.101
633,-0.6726
634,-0.5067
635,0.3182
636,0.701
637,0.3182
638,0.0
639,-0.2732
640,0.0
641,0.0
642,0.25
643,0.0
644,0.0
645,0.0
646,0.7184
647,0.0
648,0.0
649,0.5267
650,0.0
651,0.0
652,0.7184
653,0.0
654,0.0
655,0.5267
656,-0.34
657,0.0
658,0.1531
659,-0.4588
660,-0.34
661,0.0
662,0.6808
663,0.0
664,0.6705
665,0.7351
666,0.8402
667,-0.34
668,0.0
669,0.0
670,0.0
671,-0.7351
672,0.4404
673,0.4404
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.8519
680,0.0
681,0.0
682,0.9428
683,0.0
684,0.0
685,0.4215
686,0.0
687,0.0
688,0.69
689,0.0
690,0.8356
691,0.5081
692,0.0772
693,-0.0243
694,-0.5267
695,-0.4939
696,0.0
697,0.3612
698,0.5106
699,0.7639
700,-0.5106
701,0.5106
702,0.9708
703,0.5106
704,0.5106
705,0.7639
706,-0.5106
707,0.5106
708,0.9708
709,0.5106
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.4939
720,0.5719
721,0.0
722,0.5859
723,-0.3612
724,-0.7088
725,0.5411
726,0.5411
727,0.5411
728,0.0
729,0.0
730,0.0
731,0.5673
732,0.6467
733,0.0
734,0.7506
735,0.6597
736,0.0
737,0.9033
738,0.4588
739,0.7845
740,0.0
741,0.2732
742,-0.34
743,0.0
744,0.0
745,0.0772
746,0.8513
747,0.8513
748,0.8513
749,0.8513
750,0.8513
751,0.8513
752,0.5106
753,0.7639
754,-0.5106
755,0.5106
756,0.9708
757,0.5106
758,0.5106
759,0.7639
760,-0.5106
761,0.5106
762,0.9708
763,0.5106
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.4939
774,0.5719
775,0.0
776,0.5859
777,-0.3612
778,-0.7088
779,0.5411
780,0.5411
781,0.5411
782,0.0
783,0.0
784,0.0
785,0.5673
786,0.6467
787,0.0
788,0.7506
789,0.6597
790,0.0
791,0.9033
792,0.4588
793,0.7845
794,0.0
795,0.2732
796,-0.34
797,0.0
798,0.0
799,0.0772
800,0.8513
801,0.8513
802,0.8513
803,0.8513
804,0.8513
805,0.8513
806,0.0
807,0.34
808,0.0
809,0.0
810,0.0
811,0.0
812,0.0
813,0.34
814,0.0
815,0.0
816,0.0
817,0.0
818,-0.5696
819,-0.3769
820,-0.5538
821,-0.5528
822,-0.2481
823,-0.4003
824,-0.1531
825,0.7263
826,0.5411
827,0.3818
828,-0.0772
829,-0.2764
