,compound
492,-0.1531
493,0.0
494,0.9081
495,-0.7506
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,-0.2732
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.3612
508,0.3612
509,0.4939
510,0.0
511,0.0
512,0.4215
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.7579
519,0.0
520,0.0
521,0.0
522,0.6369
523,0.0
524,0.0
525,0.0
526,0.0
527,0.296
528,0.0
529,0.2023
530,0.5574
531,0.6597
532,0.0
533,-0.1531
534,0.4215
535,0.0
536,-0.5719
537,0.7003
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.4767
551,0.7351
552,0.6124
553,0.5859
554,0.0
555,0.5106
556,0.0
557,0.0
558,0.0
559,0.0
560,0.3818
561,0.0
562,0.0
563,0.0
564,0.0
565,-0.1531
566,0.0
567,0.5106
568,0.0
569,0.6908
570,-0.5574
571,0.0
572,0.0
573,0.3612
574,0.8316
575,0.0
576,0.0
577,0.3612
578,0.128
579,0.0
580,0.0
581,0.0
582,0.5574
583,0.296
584,0.3724
585,0.6808
586,0.0
587,0.0
588,0.3612
589,0.6369
590,0.4939
591,0.0
592,0.5574
593,0.0
594,0.7906
595,0.0
596,0.4939
597,0.7783
598,0.5574
599,0.0
600,0.7906
601,0.0
602,0.4939
603,0.7783
604,0.802
605,0.802
606,0.5859
607,0.8271
608,0.4019
609,0.0
610,0.0
611,0.0
612,0.0
613,0.5719
614,0.0
615,0.743
616,0.0
617,0.3818
618,-0.5859
619,0.0
620,0.5859
621,0.0
622,0.4939
623,0.4939
624,-0.5719
625,-0.5719
626,0.0
627,0.0
628,-0.34
629,-0.6249
630,-0.1779
631,0.2263
632,-0.5574
633,-0.6597
634,-0.34
635,0.0
636,0.7096
637,0.4215
638,0.0
639,-0.2732
640,0.0
641,0.0
642,0.25
643,0.0
644,0.0
645,0.0
646,0.6705
647,0.4939
648,0.0
649,0.6369
650,0.0
651,0.0
652,0.6705
653,0.4939
654,0.0
655,0.6369
656,-0.34
657,0.0
658,0.3612
659,0.0
660,-0.34
661,0.0
662,0.5859
663,0.0
664,0.4939
665,0.6908
666,0.7579
667,-0.34
668,0.0
669,0.0
670,0.0
671,-0.34
672,0.0
673,0.5859
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.836
680,0.0
681,0.0
682,0.9565
683,0.0
684,0.0
685,0.4215
686,0.4939
687,0.4939
688,0.6369
689,0.0
690,0.5859
691,0.4019
692,0.0
693,-0.3612
694,-0.5267
695,0.0
696,0.0
697,0.3612
698,-0.1027
699,0.4767
700,-0.7906
701,-0.1027
702,0.9595
703,-0.1027
704,-0.1027
705,0.4767
706,-0.7906
707,-0.1027
708,0.9595
709,-0.1027
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.4939
720,0.0
721,0.0
722,0.5859
723,-0.296
724,0.0
725,0.4939
726,0.4939
727,0.4939
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.6249
735,0.4939
736,0.0
737,0.8115
738,0.4588
739,0.25
740,0.0
741,0.3612
742,0.0
743,0.0
744,0.0
745,0.3612
746,0.8402
747,0.8402
748,0.8402
749,0.8402
750,0.8402
751,0.8402
752,-0.1027
753,0.4767
754,-0.7906
755,-0.1027
756,0.9595
757,-0.1027
758,-0.1027
759,0.4767
760,-0.7906
761,-0.1027
762,0.9595
763,-0.1027
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.4939
774,0.0
775,0.0
776,0.5859
777,-0.296
778,0.0
779,0.4939
780,0.4939
781,0.4939
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
788,0.6249
789,0.4939
790,0.0
791,0.8115
792,0.4588
793,0.25
794,0.0
795,0.3612
796,0.0
797,0.0
798,0.0
799,0.3612
800,0.8402
801,0.8402
802,0.8402
803,0.8402
804,0.8402
805,0.8402
806,0.0
807,0.34
808,0.0
809,0.0
810,0.0
811,0.0
812,0.0
813,0.34
814,0.0
815,0.0
816,0.0
817,0.0
818,-0.4767
819,-0.1779
820,-0.4019
821,0.0
822,-0.1779
823,0.0
824,-0.2263
825,0.5859
826,0.4588
827,0.34
828,-0.34
829,0.0
830,0.3612
831,0.0
832,0.0
833,0.0
834,0.5574
835,0.0
836,0.5267
837,0.8885
838,0.9062
839,0.7096
840,0.8271
841,0.4939
842,0.3612
843,-0.6597
844,0.0
845,0.5574
846,0.0
847,0.8402
848,0.0
849,0.2023
850,0.0
851,0.0
852,0.4939
853,0.0
854,0.6908
855,0.9081
856,-0.7579
857,0.8555
858,0.9423
859,0.9022
860,0.0772
861,0.0
862,0.0
863,0.0
864,-0.34
865,-0.5106
866,0.0772
867,0.0
868,0.0
869,0.0
870,-0.34
871,-0.5106
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,0.0
878,-0.5859
879,-0.5859
880,-0.5859
881,-0.5859
882,-0.5859
883,0.0
884,0.0258
885,0.0
886,0.4019
887,0.0
888,0.0
889,0.3182
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0772
895,0.0
896,0.0
897,0.0
898,0.0
899,0.3612
900,0.0
901,0.0
902,0.4215
903,0.0
904,0.2732
905,0.4404
906,-0.5106
907,0.0
908,0.0
909,0.0
910,0.0
911,0.5106
912,0.0
913,0.0
914,0.0
915,0.0
916,-0.1531
917,0.2732
918,0.4939
919,0.0
920,0.0
921,0.0
922,-0.1531
923,0.2732
924,0.4939
925,0.0
926,0.4939
927,0.3208
928,0.0516
929,0.8519
930,0.4939
931,0.0
932,0.0
933,0.0
934,0.0
935,0.5859
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.5106
944,0.7351
945,0.3612
946,0.9081
947,0.0
948,0.8779
949,0.0
950,0.0
951,0.7717
952,0.0
953,0.6369
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.4939
970,0.4939
971,0.0
972,0.0
973,-0.3612
974,0.0
975,0.4939
976,0.4939
977,0.0
978,0.0
979,-0.3612
980,-0.3612
981,0.0
982,0.3612
983,0.4404
984,0.3612
985,0.3612
986,0.0
987,0.6369
988,-0.5106
989,0.0
990,0.0
991,0.0258
992,0.891
993,0.802
994,0.5859
995,0.1779
996,0.5859
997,-0.0772
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.7906
1005,0.0
1006,0.3182
1007,0.0
1008,-0.743
1009,0.0
1010,0.0772
1011,0.1779
1012,0.4215
1013,0.0
1014,0.4449
1015,0.0
1016,0.0516
1017,0.2023
1018,0.0
1019,0.4767
1020,0.4767
1021,0.4019
1022,0.0
1023,0.0
1024,0.6705
1025,0.4939
1026,0.0
1027,0.6369
1028,0.0
1029,0.0
1030,0.6705
1031,0.4939
1032,0.0
1033,0.6369
1034,-0.34
1035,0.0
1036,0.3612
1037,0.0
1038,-0.34
1039,0.0
1040,0.5859
1041,0.0
1042,0.4939
1043,0.6908
1044,0.7579
1045,-0.34
1046,0.0
1047,0.0
1048,0.0
1049,-0.34
1050,0.0
1051,0.5859
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.836
1058,0.0
1059,0.0
1060,0.9565
1061,0.0
1062,0.0
1063,0.4215
1064,0.4939
1065,0.4939
1066,0.6369
1067,0.0
1068,0.5859
1069,0.4019
1070,0.0
1071,-0.3612
1072,-0.5267
1073,0.0
1074,0.0
1075,0.3612
1076,-0.2187
1077,0.3612
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,-0.2187
1083,0.3612
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.802
1090,0.0
1091,0.0
